,0,1,2,3,4,5,6,7,8,9,b_avg,ofl_avg,win,rank,subdom
0,obs1-1,0,0,11.53,26.82,23.07,4.69,14,14.17,14.54,12.284,11.85,3,,
2,obs1-2,0,2.9,1.57,0,5.94,12.61,12.21,5.69,18.68,2.082,12.2975,2,,
4,obs1-3,0,0,0,0.89,4.47,1.45,2.24,0.56,1.23,1.072,1.37,4,,
6,obs1-4,0,6.03,2.9,1.23,5.14,4.58,3.7,5.02,5.48,3.06,4.695,0,,
8,obs1-5,0,1.56,2.24,1.01,4.7,21.86,11.52,24.27,17.49,1.902,18.785,1,,
10,obs2-1,2.24,8.38,25.34,19.13,7.27,10.76,7.27,6.71,10.2,12.472,8.735,1,,
12,obs2-2,1.68,0,5.04,1.79,5.37,12.83,7.2,3.46,1.01,2.776,6.125,2,,
14,obs2-3,0,3.12,4.37,3.69,8.5,11.38,19.46,5.03,12.65,3.936,12.13,0,,
16,obs2-4,2.91,5.04,4.8,2.24,3.91,7.04,4.24,7.4,15.14,3.78,8.455,4,,
18,obs2-5,3.69,2.02,6.03,13.98,9.05,11.4,6.14,8.3,16.16,6.954,10.5,3,,
20,obs4-1,0,0.45,0,1.01,10.16,8.84,15.98,16.69,12.42,2.324,13.4825,,,
22,obs4-2,1.01,1.12,1.68,4.58,6.81,6.49,14.41,0.67,7.38,3.04,7.2375,,,
24,obs4-3,0,0.67,0.67,0.89,1.45,0,4.36,1.45,2.8,0.736,2.1525,,,
26,obs4-4,0,0.56,7.94,0.56,1.68,9.06,2.57,0.45,3.92,2.148,4,,,
28,obs4-5,0,0,0.78,0.67,0.56,4.36,0,14.53,2.48,0.402,5.3425,,,
,obs1-1,1.45,1.01,2.58,5.36,2.68,9.94,8.06,8.94,16.55,2.616,10.8725,1,,
,obs1-2,0.45,9.5,6.17,5.13,6.03,2.68,2.13,1.56,1.01,5.456,1.845,1,,
,obs1-3,3.02,6.04,12.95,16.13,6.61,40.34,46.82,35.79,24.13,8.95,36.77,3,,
,obs1-4,3.24,2.8,4.69,2.91,10.97,9.94,8.83,11.86,5.92,4.922,9.1375,3,,
,obs1-5,0,0.67,0.78,0,2.01,0.45,2.91,2.13,7.61,0.692,3.275,2,,
,obs2-1,0,0.56,0.67,4.69,10.5,9.61,8.05,18.16,21.36,3.284,14.295,3,,
,obs2-2,0,0,0,0,3.01,3.36,2.24,1.56,6.37,0.602,3.3825,1,,
,obs2-3,0,2.68,4.13,0,3.35,9.52,7.72,13.97,6.7,2.032,9.4775,0,,
,obs2-4,0,0,0,2.58,3.24,4.15,8.26,3.46,5.72,1.164,5.3975,4,,
,obs2-5,0,0,0.45,0.9,4.81,8.74,4.91,1.9,2.92,1.232,4.6175,2,,
